respondent_id,brand,price_per_month,beans,delivery,rating
R0005,Arabica Hills,$24,House blend,Weekly,4
R0005,Nordic Roast,$14,House blend,Weekly,9
R0005,Nordic Roast,$24,Single origin,Every two weeks,4
R0006,Nordic Roast,$19,House blend,Weekly,7
R0006,Casa Verde,$24,House blend,Monthly,1
R0006,Casa Verde,$14,House blend,Monthly,4
R0006,Nordic Roast,$24,Single origin,Monthly,5
R0006,Arabica Hills,$14,House blend,Monthly,6
R0006,Casa Verde,$14,Single origin,Monthly,6
R0006,Arabica Hills,$19,Single origin,Every two weeks,9
R0006,Arabica Hills,$14,Single origin,Monthly,9
R0006,Arabica Hills,$14,Single origin,Weekly,10
R0006,Casa Verde,$24,Single origin,Monthly,3
R0006,Casa Verde,$14,House blend,Weekly,7
R0006,Casa Verde,$19,Single origin,Weekly,7
R0006,Nordic Roast,$14,Single origin,Every two weeks,9
R0006,Arabica Hills,$24,House blend,Every two weeks,4
R0007,Nordic Roast,$19,House blend,Monthly,4
R0007,Nordic Roast,$24,Single origin,Weekly,6
R0007,Nordic Roast,$14,Single origin,Every two weeks,9
R0007,Arabica Hills,$24,House blend,Weekly,4
R0007,Nordic Roast,$19,Single origin,Weekly,6
R0007,Casa Verde,$14,House blend,Weekly,7
R0007,Arabica Hills,$14,House blend,Monthly,8
R0007,Nordic Roast,$24,Single origin,Every two weeks,6
R0007,Nordic Roast,$14,Single origin,Weekly,9
R0007,Casa Verde,$24,Single origin,Monthly,3
R0007,Nordic Roast,$24,House blend,Monthly,4
R0007,Nordic Roast,$19,Single origin,Every two weeks,5
R0007,Casa Verde,$14,Single origin,Weekly,9
R0007,Arabica Hills,$19,Single origin,Monthly,4
R0008,Casa Verde,$19,House blend,Every two weeks,6
R0008,Arabica Hills,$19,House blend,Every two weeks,8
R0008,Nordic Roast,$24,Single origin,Weekly,4
R0008,Nordic Roast,$24,House blend,Monthly,3
R0008,Casa Verde,$24,House blend,Every two weeks,2
R0008,Nordic Roast,$19,Single origin,Monthly,6
R0008,Casa Verde,$14,Single origin,Monthly,7
R0008,Arabica Hills,$24,Single origin,Weekly,6
R0008,Arabica Hills,$19,Single origin,Monthly,7
R0008,Casa Verde,$19,House blend,Monthly,4
R0008,Nordic Roast,$14,House blend,Monthly,6
R0008,Nordic Roast,$24,Single origin,Monthly,3
R0008,Nordic Roast,$24,House blend,Weekly,4
R0008,Casa Verde,$14,House blend,Weekly,6
R0009,Nordic Roast,$14,House blend,Weekly,7
R0009,Casa Verde,$14,Single origin,Weekly,7
R0009,Casa Verde,$24,House blend,Every two weeks,1
R0009,Nordic Roast,$19,House blend,Monthly,5
R0009,Arabica Hills,$24,Single origin,Every two weeks,3
R0009,Nordic Roast,$24,House blend,Every two weeks,2
R0009,Casa Verde,$19,Single origin,Weekly,7
R0009,Arabica Hills,$14,House blend,Monthly,5
R0009,Arabica Hills,$24,House blend,Every two weeks,4
R0009,Arabica Hills,$14,House blend,Every two weeks,8
R0009,Casa Verde,$24,House blend,Weekly,3
R0009,Arabica Hills,$24,Single origin,Weekly,6
R0009,Arabica Hills,$19,Single origin,Weekly,9
R0009,Casa Verde,$14,House blend,Weekly,6
R0010,Casa Verde,$24,Single origin,Every two weeks,4
R0010,Nordic Roast,$14,Single origin,Monthly,7
R0010,Casa Verde,$19,House blend,Monthly,4
R0010,Nordic Roast,$19,House blend,Monthly,3
R0010,Arabica Hills,$19,House blend,Weekly,6
R0010,Casa Verde,$19,House blend,Weekly,5
R0010,Nordic Roast,$19,Single origin,Monthly,5
R0010,Arabica Hills,$19,Single origin,Monthly,8
R0010,Casa Verde,$14,Single origin,Weekly,8
R0010,Nordic Roast,$24,Single origin,Monthly,2
R0010,Casa Verde,$24,House blend,Weekly,2
R0010,Arabica Hills,$24,Single origin,Weekly,4
R0010,Nordic Roast,$14,House blend,Monthly,6
R0010,Casa Verde,$14,House blend,Monthly,5
R0011,Casa Verde,$24,Single origin,Monthly,3
R0011,Casa Verde,$14,House blend,Weekly,8
R0011,Casa Verde,$14,Single origin,Weekly,7
R0011,Arabica Hills,$14,House blend,Every two weeks,9
R0011,Casa Verde,$24,Single origin,Weekly,5
R0011,Nordic Roast,$24,Single origin,Every two weeks,5
R0011,Nordic Roast,$19,Single origin,Monthly,5
R0011,Nordic Roast,$14,Single origin,Monthly,6
R0011,Nordic Roast,$19,Single origin,Weekly,6
R0011,Arabica Hills,$19,Single origin,Every two weeks,10
R0011,Casa Verde,$14,House blend,Monthly,5
R0011,Arabica Hills,$24,Single origin,Every two weeks,7
R0011,Arabica Hills,$19,Single origin,Monthly,5
R0011,Casa Verde,$19,House blend,Every two weeks,6
R0012,Arabica Hills,$24,Single origin,Monthly,2
R0012,Nordic Roast,$24,House blend,Every two weeks,4
R0012,Casa Verde,$14,House blend,Every two weeks,6
R0012,Nordic Roast,$24,Single origin,Every two weeks,4
R0012,Arabica Hills,$19,House blend,Weekly,6
R0012,Casa Verde,$24,House blend,Weekly,4
R0012,Arabica Hills,$14,House blend,Weekly,6
R0012,Nordic Roast,$19,Single origin,Monthly,5
R0012,Arabica Hills,$24,House blend,Monthly,1
R0012,Arabica Hills,$14,Single origin,Weekly,6
R0012,Casa Verde,$24,House blend,Every two weeks,4
R0012,Casa Verde,$24,Single origin,Every two weeks,5
R0012,Casa Verde,$19,Single origin,Monthly,4
R0012,Arabica Hills,$19,House blend,Every two weeks,5
R0013,Nordic Roast,$14,House blend,Weekly,6
R0013,Arabica Hills,$24,House blend,Weekly,5
R0013,Arabica Hills,$24,Single origin,Weekly,3
R0013,Arabica Hills,$19,Single origin,Monthly,3
R0013,Nordic Roast,$19,House blend,Every two weeks,4
R0013,Arabica Hills,$24,House blend,Monthly,1
R0013,Arabica Hills,$24,Single origin,Monthly,4
R0013,Nordic Roast,$19,House blend,Monthly,5
R0013,Nordic Roast,$19,House blend,Weekly,5
R0013,Arabica Hills,$14,House blend,Every two weeks,3
R0013,Nordic Roast,$14,Single origin,Every two weeks,6
R0013,Casa Verde,$24,House blend,Weekly,4
R0013,Arabica Hills,$24,Single origin,Every two weeks,1
R0013,Casa Verde,$19,Single origin,Monthly,4
R0014,Casa Verde,$19,Single origin,Weekly,5
R0014,Nordic Roast,$19,Single origin,Weekly,7
R0014,Casa Verde,$19,House blend,Monthly,1
R0014,Casa Verde,$19,Single origin,Monthly,3
R0014,Arabica Hills,$24,Single origin,Weekly,5
R0014,Arabica Hills,$24,House blend,Weekly,4
R0014,Nordic Roast,$19,House blend,Monthly,4
R0014,Arabica Hills,$19,House blend,Weekly,5
R0014,Arabica Hills,$24,House blend,Every two weeks,2
R0014,Arabica Hills,$24,Single origin,Monthly,3
R0014,Arabica Hills,$19,House blend,Every two weeks,4
R0014,Casa Verde,$24,House blend,Every two weeks,2
R0014,Nordic Roast,$19,House blend,Weekly,6
R0014,Casa Verde,$24,Single origin,Weekly,3
R0015,Casa Verde,$19,Single origin,Monthly,3
R0015,Nordic Roast,$14,House blend,Monthly,4
R0015,Arabica Hills,$19,Single origin,Weekly,6
R0015,Nordic Roast,$14,House blend,Every two weeks,7
R0015,Arabica Hills,$14,Single origin,Weekly,9
R0015,Casa Verde,$24,House blend,Monthly,1
R0015,Nordic Roast,$14,Single origin,Weekly,6
R0015,Casa Verde,$24,House blend,Every two weeks,3
R0015,Arabica Hills,$14,Single origin,Every two weeks,9
R0015,Arabica Hills,$19,Single origin,Every two weeks,7
R0015,Casa Verde,$14,House blend,Monthly,4
R0015,Casa Verde,$24,Single origin,Every two weeks,2
R0015,Casa Verde,$19,Single origin,Every two weeks,5
R0015,Arabica Hills,$19,Single origin,Monthly,4
R0016,Casa Verde,$24,Single origin,Every two weeks,4
R0016,Arabica Hills,$14,Single origin,Weekly,8
R0016,Arabica Hills,$24,House blend,Monthly,2
R0016,Casa Verde,$19,House blend,Weekly,4
R0016,Nordic Roast,$14,Single origin,Monthly,7
R0016,Casa Verde,$14,House blend,Every two weeks,6
R0016,Nordic Roast,$19,House blend,Every two weeks,7
R0016,Casa Verde,$14,Single origin,Weekly,5
R0016,Casa Verde,$19,Single origin,Every two weeks,5
R0016,Arabica Hills,$19,House blend,Monthly,3
R0016,Arabica Hills,$14,House blend,Every two weeks,6
R0016,Nordic Roast,$24,House blend,Weekly,4
R0016,Casa Verde,$19,House blend,Every two weeks,4
R0016,Nordic Roast,$24,Single origin,Monthly,5
R0017,Casa Verde,$19,House blend,Monthly,3
R0017,Casa Verde,$14,House blend,Every two weeks,8
R0017,Arabica Hills,$24,Single origin,Monthly,5
R0017,Nordic Roast,$24,Single origin,Weekly,5
R0017,Nordic Roast,$19,Single origin,Monthly,3
R0017,Nordic Roast,$14,Single origin,Weekly,10
R0017,Casa Verde,$24,Single origin,Weekly,5
R0017,Nordic Roast,$24,Single origin,Monthly,2
R0017,Arabica Hills,$24,House blend,Weekly,7
R0017,Nordic Roast,$24,House blend,Monthly,3
R0017,Nordic Roast,$19,House blend,Weekly,6
R0017,Casa Verde,$19,Single origin,Monthly,3
R0017,Nordic Roast,$14,House blend,Every two weeks,9
R0017,Casa Verde,$24,Single origin,Monthly,3
R0018,Casa Verde,$19,Single origin,Weekly,4
R0018,Casa Verde,$19,House blend,Monthly,2
R0018,Arabica Hills,$14,Single origin,Weekly,10
R0018,Casa Verde,$24,House blend,Every two weeks,2
R0018,Casa Verde,$14,Single origin,Monthly,6
R0018,Nordic Roast,$24,House blend,Weekly,4
R0018,Nordic Roast,$24,House blend,Every two weeks,4
R0018,Arabica Hills,$24,House blend,Weekly,5
R0018,Casa Verde,$19,Single origin,Monthly,5
R0018,Nordic Roast,$19,Single origin,Monthly,4
R0018,Nordic Roast,$19,House blend,Weekly,5
R0018,Arabica Hills,$14,Single origin,Monthly,7
R0018,Casa Verde,$19,Single origin,Every two weeks,6
R0018,Nordic Roast,$14,House blend,Weekly,7
R0019,Arabica Hills,$24,House blend,Monthly,4
R0019,Casa Verde,$19,House blend,Monthly,5
R0019,Nordic Roast,$24,House blend,Monthly,4
R0019,Arabica Hills,$24,Single origin,Weekly,5
R0019,Arabica Hills,$19,House blend,Weekly,5
R0019,Casa Verde,$24,House blend,Monthly,3
R0019,Nordic Roast,$24,House blend,Every two weeks,4
R0019,Nordic Roast,$14,Single origin,Weekly,8
R0019,Nordic Roast,$14,Single origin,Monthly,7
R0019,Casa Verde,$14,Single origin,Weekly,8
R0019,Casa Verde,$24,Single origin,Weekly,2
R0019,Nordic Roast,$19,House blend,Weekly,8
R0019,Nordic Roast,$24,Single origin,Weekly,5
R0019,Arabica Hills,$24,Single origin,Every two weeks,5
R0020,Arabica Hills,$19,House blend,Monthly,4
R0020,Arabica Hills,$14,Single origin,Monthly,8
R0020,Arabica Hills,$24,Single origin,Every two weeks,5
R0020,Nordic Roast,$24,House blend,Every two weeks,2
R0020,Arabica Hills,$19,Single origin,Weekly,7
R0020,Casa Verde,$24,House blend,Weekly,1
R0020,Casa Verde,$19,Single origin,Monthly,2
R0020,Arabica Hills,$19,Single origin,Every two weeks,6
R0020,Casa Verde,$24,Single origin,Weekly,5
R0020,Casa Verde,$19,Single origin,Every two weeks,3
R0020,Nordic Roast,$14,House blend,Weekly,6
R0020,Nordic Roast,$14,House blend,Every two weeks,5
R0020,Arabica Hills,$19,House blend,Weekly,7
R0020,Arabica Hills,$19,House blend,Every two weeks,4
R0021,Casa Verde,$14,House blend,Weekly,8
R0021,Casa Verde,$24,House blend,Every two weeks,2
R0021,Casa Verde,$19,Single origin,Weekly,9
R0021,Nordic Roast,$19,Single origin,Weekly,9
R0021,Arabica Hills,$14,Single origin,Every two weeks,6
R0021,Casa Verde,$19,Single origin,Every two weeks,5
R0021,Arabica Hills,$14,House blend,Weekly,7
R0021,Arabica Hills,$24,House blend,Monthly,1
R0021,Arabica Hills,$24,House blend,Every two weeks,3
R0021,Nordic Roast,$19,Single origin,Every two weeks,6
R0021,Casa Verde,$24,Single origin,Weekly,3
R0021,Casa Verde,$19,House blend,Weekly,7
R0021,Nordic Roast,$19,House blend,Monthly,5
R0021,Casa Verde,$24,House blend,Weekly,4
R0022,Nordic Roast,$19,House blend,Every two weeks,6
R0022,Casa Verde,$14,Single origin,Every two weeks,10
R0022,Casa Verde,$24,House blend,Weekly,2
R0022,Arabica Hills,$24,Single origin,Weekly,5
R0022,Arabica Hills,$24,Single origin,Monthly,4
R0022,Casa Verde,$19,Single origin,Weekly,7
R0022,Arabica Hills,$19,House blend,Weekly,5
R0022,Arabica Hills,$24,House blend,Every two weeks,3
R0022,Arabica Hills,$19,Single origin,Monthly,6
R0022,Nordic Roast,$19,House blend,Monthly,4
R0022,Casa Verde,$19,House blend,Weekly,4
R0022,Casa Verde,$14,Single origin,Weekly,8
R0022,Nordic Roast,$14,House blend,Weekly,6
R0022,Arabica Hills,$14,House blend,Monthly,5
R0023,Casa Verde,$24,Single origin,Weekly,6
R0023,Arabica Hills,$19,House blend,Monthly,4
R0023,Arabica Hills,$19,Single origin,Monthly,4
R0023,Nordic Roast,$14,House blend,Every two weeks,6
R0023,Nordic Roast,$19,Single origin,Weekly,7
R0023,Arabica Hills,$14,Single origin,Every two weeks,8
R0023,Nordic Roast,$14,House blend,Monthly,6
R0023,Arabica Hills,$24,Single origin,Monthly,4
R0023,Casa Verde,$14,Single origin,Weekly,7
R0023,Arabica Hills,$14,House blend,Weekly,5
R0023,Nordic Roast,$24,Single origin,Weekly,6
R0023,Casa Verde,$24,Single origin,Every two weeks,7
R0023,Casa Verde,$19,House blend,Every two weeks,6
R0023,Arabica Hills,$19,House blend,Every two weeks,6
R0024,Nordic Roast,$24,Single origin,Monthly,5
R0024,Arabica Hills,$24,Single origin,Every two weeks,6
R0024,Casa Verde,$19,House blend,Monthly,4
R0024,Arabica Hills,$19,Single origin,Weekly,9
R0024,Arabica Hills,$14,House blend,Monthly,5
R0024,Arabica Hills,$24,Single origin,Weekly,7
R0024,Arabica Hills,$24,House blend,Monthly,4
R0024,Casa Verde,$14,Single origin,Monthly,6
R0024,Casa Verde,$14,House blend,Every two weeks,6
R0024,Nordic Roast,$14,House blend,Monthly,6
R0024,Nordic Roast,$24,House blend,Every two weeks,6
R0024,Arabica Hills,$14,House blend,Weekly,8
R0024,Casa Verde,$14,House blend,Weekly,6
R0024,Arabica Hills,$14,Single origin,Monthly,7
R0025,Nordic Roast,$14,House blend,Every two weeks,6
R0025,Casa Verde,$14,House blend,Every two weeks,7
R0025,Arabica Hills,$14,House blend,Monthly,6
R0025,Nordic Roast,$14,House blend,Weekly,6
R0025,Casa Verde,$14,Single origin,Weekly,8
R0025,Nordic Roast,$19,Single origin,Monthly,6
R0025,Arabica Hills,$19,House blend,Every two weeks,5
R0025,Arabica Hills,$14,Single origin,Weekly,8
R0025,Nordic Roast,$14,Single origin,Monthly,8
R0025,Casa Verde,$14,House blend,Weekly,7
R0025,Casa Verde,$19,House blend,Weekly,6
R0025,Nordic Roast,$24,Single origin,Monthly,5
R0025,Casa Verde,$14,House blend,Monthly,7
R0025,Casa Verde,$14,Single origin,Every two weeks,10
R0026,Arabica Hills,$24,House blend,Weekly,3
R0026,Arabica Hills,$14,House blend,Weekly,9
R0026,Nordic Roast,$14,Single origin,Monthly,8
R0026,Casa Verde,$14,Single origin,Weekly,9
R0026,Nordic Roast,$19,House blend,Weekly,8
R0026,Arabica Hills,$14,House blend,Every two weeks,10
R0026,Casa Verde,$24,Single origin,Every two weeks,3
R0026,Arabica Hills,$24,Single origin,Weekly,4
R0026,Nordic Roast,$24,House blend,Monthly,3
R0026,Nordic Roast,$24,Single origin,Weekly,5
R0026,Casa Verde,$14,House blend,Weekly,8
R0026,Casa Verde,$24,House blend,Weekly,3
R0026,Nordic Roast,$19,Single origin,Weekly,8
R0026,Casa Verde,$24,House blend,Monthly,1
R0027,Nordic Roast,$14,House blend,Weekly,9
R0027,Arabica Hills,$24,Single origin,Every two weeks,4
R0027,Nordic Roast,$14,Single origin,Weekly,9
R0027,Casa Verde,$14,House blend,Monthly,5
R0027,Casa Verde,$14,Single origin,Weekly,7
R0027,Nordic Roast,$19,House blend,Weekly,6
R0027,Nordic Roast,$19,Single origin,Every two weeks,9
R0027,Casa Verde,$19,Single origin,Weekly,6
R0027,Casa Verde,$14,Single origin,Every two weeks,8
R0027,Arabica Hills,$24,House blend,Monthly,2
R0027,Nordic Roast,$24,Single origin,Monthly,6
R0027,Arabica Hills,$24,House blend,Weekly,5
R0027,Nordic Roast,$24,Single origin,Weekly,7
R0027,Casa Verde,$19,House blend,Weekly,6
R0028,Arabica Hills,$14,Single origin,Weekly,10
R0028,Casa Verde,$14,Single origin,Monthly,7
R0028,Casa Verde,$14,House blend,Weekly,8
R0028,Nordic Roast,$24,House blend,Weekly,5
R0028,Nordic Roast,$19,House blend,Every two weeks,4
R0028,Casa Verde,$24,House blend,Weekly,3
R0028,Arabica Hills,$19,Single origin,Monthly,7
R0028,Casa Verde,$14,Single origin,Weekly,6
R0028,Nordic Roast,$14,Single origin,Monthly,7
R0028,Nordic Roast,$24,House blend,Monthly,2
R0028,Arabica Hills,$24,House blend,Monthly,4
R0028,Nordic Roast,$19,Single origin,Weekly,10
R0028,Nordic Roast,$24,Single origin,Every two weeks,5
R0028,Nordic Roast,$19,House blend,Weekly,6
R0029,Arabica Hills,$14,House blend,Weekly,8
R0029,Nordic Roast,$24,Single origin,Every two weeks,7
R0029,Casa Verde,$24,Single origin,Weekly,2
R0029,Casa Verde,$14,House blend,Weekly,4
R0029,Casa Verde,$19,House blend,Weekly,5
R0029,Arabica Hills,$24,Single origin,Every two weeks,6
R0029,Arabica Hills,$24,Single origin,Weekly,6
R0029,Nordic Roast,$14,Single origin,Weekly,8
R0029,Nordic Roast,$19,Single origin,Weekly,7
R0029,Arabica Hills,$19,House blend,Every two weeks,5
R0029,Casa Verde,$14,House blend,Monthly,2
R0029,Arabica Hills,$14,House blend,Monthly,6
R0029,Nordic Roast,$24,Single origin,Monthly,4
R0029,Nordic Roast,$24,House blend,Every two weeks,2
R0030,Nordic Roast,$14,Single origin,Every two weeks,6
R0030,Arabica Hills,$19,House blend,Every two weeks,6
R0030,Casa Verde,$24,Single origin,Weekly,5
R0030,Nordic Roast,$24,Single origin,Monthly,5
R0030,Arabica Hills,$24,Single origin,Weekly,4
R0030,Casa Verde,$14,House blend,Monthly,4
R0030,Arabica Hills,$14,Single origin,Monthly,8
R0030,Nordic Roast,$19,House blend,Every two weeks,7
R0030,Casa Verde,$19,Single origin,Every two weeks,6
R0030,Nordic Roast,$24,Single origin,Weekly,7
R0030,Casa Verde,$24,House blend,Every two weeks,5
R0030,Arabica Hills,$14,House blend,Weekly,8
R0030,Arabica Hills,$14,House blend,Every two weeks,7
R0030,Nordic Roast,$14,House blend,Weekly,8
R0031,Nordic Roast,$14,House blend,Every two weeks,6
R0031,Casa Verde,$24,Single origin,Weekly,2
R0031,Nordic Roast,$19,Single origin,Weekly,7
R0031,Casa Verde,$24,House blend,Weekly,2
R0031,Nordic Roast,$14,House blend,Monthly,7
R0031,Arabica Hills,$19,Single origin,Every two weeks,7
R0031,Casa Verde,$24,Single origin,Every two weeks,3
R0031,Casa Verde,$24,House blend,Every two weeks,3
R0031,Nordic Roast,$24,House blend,Monthly,4
R0031,Casa Verde,$14,Single origin,Monthly,5
R0031,Casa Verde,$14,House blend,Every two weeks,7
R0031,Arabica Hills,$19,House blend,Every two weeks,5
R0031,Nordic Roast,$24,Single origin,Weekly,4
R0031,Arabica Hills,$14,House blend,Every two weeks,8
R0032,Nordic Roast,$14,Single origin,Every two weeks,9
R0032,Casa Verde,$19,Single origin,Weekly,7
R0032,Arabica Hills,$24,Single origin,Monthly,5
R0032,Casa Verde,$19,House blend,Every two weeks,5
R0032,Casa Verde,$14,House blend,Every two weeks,8
R0032,Arabica Hills,$14,Single origin,Every two weeks,10
R0032,Casa Verde,$14,Single origin,Monthly,7
R0032,Nordic Roast,$24,House blend,Weekly,5
R0032,Nordic Roast,$19,Single origin,Weekly,7
R0032,Casa Verde,$24,House blend,Monthly,2
R0032,Casa Verde,$14,House blend,Weekly,8
R0032,Nordic Roast,$19,Single origin,Every two weeks,8
R0032,Arabica Hills,$19,Single origin,Monthly,6
R0032,Casa Verde,$24,House blend,Every two weeks,3
R0033,Arabica Hills,$24,Single origin,Weekly,5
R0033,Nordic Roast,$19,House blend,Every two weeks,7
R0033,Arabica Hills,$19,Single origin,Monthly,6
R0033,Nordic Roast,$19,House blend,Monthly,5
R0033,Casa Verde,$24,House blend,Every two weeks,5
R0033,Casa Verde,$19,Single origin,Weekly,8
R0033,Nordic Roast,$24,Single origin,Monthly,5
R0033,Arabica Hills,$14,Single origin,Weekly,8
R0033,Nordic Roast,$14,Single origin,Monthly,10
R0033,Nordic Roast,$14,House blend,Monthly,7
R0033,Nordic Roast,$14,House blend,Weekly,8
R0033,Nordic Roast,$14,Single origin,Weekly,10
R0033,Casa Verde,$14,Single origin,Every two weeks,8
R0033,Arabica Hills,$14,House blend,Monthly,7
R0034,Arabica Hills,$14,House blend,Every two weeks,9
R0034,Nordic Roast,$24,Single origin,Monthly,4
R0034,Nordic Roast,$24,House blend,Monthly,2
R0034,Arabica Hills,$14,House blend,Weekly,9
R0034,Arabica Hills,$19,House blend,Every two weeks,5
R0034,Arabica Hills,$19,House blend,Weekly,10
R0034,Casa Verde,$14,House blend,Monthly,5
R0034,Arabica Hills,$24,Single origin,Weekly,8
R0034,Arabica Hills,$24,House blend,Every two weeks,5
R0034,Arabica Hills,$24,House blend,Monthly,5
R0034,Arabica Hills,$19,House blend,Monthly,7
R0034,Nordic Roast,$19,Single origin,Every two weeks,6
R0034,Nordic Roast,$14,House blend,Every two weeks,6
R0034,Casa Verde,$24,Single origin,Weekly,5
R0035,Arabica Hills,$14,Single origin,Every two weeks,9
R0035,Nordic Roast,$19,Single origin,Monthly,4
R0035,Nordic Roast,$24,Single origin,Weekly,4
R0035,Arabica Hills,$14,House blend,Weekly,10
R0035,Arabica Hills,$19,House blend,Monthly,7
R0035,Nordic Roast,$19,Single origin,Every two weeks,6
R0035,Nordic Roast,$19,House blend,Weekly,7
R0035,Arabica Hills,$24,House blend,Monthly,4
R0035,Casa Verde,$19,Single origin,Monthly,3
R0035,Arabica Hills,$14,Single origin,Weekly,10
R0035,Arabica Hills,$24,Single origin,Every two weeks,4
R0035,Casa Verde,$19,Single origin,Every two weeks,4
R0035,Nordic Roast,$14,House blend,Weekly,9
R0035,Arabica Hills,$24,Single origin,Monthly,5
R0036,Casa Verde,$24,Single origin,Monthly,1
R0036,Casa Verde,$19,House blend,Monthly,2
R0036,Casa Verde,$14,Single origin,Every two weeks,3
R0036,Casa Verde,$24,Single origin,Every two weeks,1
R0036,Arabica Hills,$14,Single origin,Every two weeks,7
R0036,Arabica Hills,$19,House blend,Every two weeks,5
R0036,Nordic Roast,$24,Single origin,Every two weeks,3
R0036,Arabica Hills,$19,House blend,Weekly,6
R0036,Nordic Roast,$24,House blend,Weekly,4
R0036,Nordic Roast,$19,Single origin,Every two weeks,4
R0036,Nordic Roast,$14,Single origin,Weekly,7
R0036,Casa Verde,$24,House blend,Every two weeks,1
R0036,Casa Verde,$14,House blend,Monthly,2
R0036,Nordic Roast,$19,House blend,Monthly,2
R0037,Nordic Roast,$24,House blend,Monthly,1
R0037,Nordic Roast,$14,House blend,Every two weeks,7
R0037,Casa Verde,$19,Single origin,Monthly,6
R0037,Casa Verde,$14,Single origin,Weekly,8
R0037,Arabica Hills,$19,Single origin,Weekly,9
R0037,Casa Verde,$14,Single origin,Every two weeks,9
R0037,Nordic Roast,$14,House blend,Weekly,9
R0037,Casa Verde,$24,House blend,Every two weeks,4
R0037,Arabica Hills,$24,Single origin,Every two weeks,6
R0037,Casa Verde,$19,Single origin,Every two weeks,8
R0037,Nordic Roast,$14,House blend,Monthly,5
R0037,Casa Verde,$19,House blend,Monthly,7
R0037,Casa Verde,$24,Single origin,Weekly,4
R0037,Arabica Hills,$24,House blend,Monthly,2
R0038,Nordic Roast,$19,Single origin,Weekly,6
R0038,Nordic Roast,$19,House blend,Monthly,4
R0038,Casa Verde,$24,House blend,Every two weeks,3
